size_sqft,bedrooms,bathrooms,age_years,garage,location_score,school_rating,price
2248.3570765056165,2,2,45,0,8.325765589442181,8.34493150417083,722268.827322651
1930.8678494144076,1,1,39,2,9.259241948639994,9.62250192141427,660342.9764128322
2323.844269050346,5,2,24,0,4.21913898963708,8.610858473899237,648540.2378891219
2761.514928204013,2,3,21,1,5.160227108790362,5.158024134561424,702904.7610293967
1882.923312638332,1,2,25,0,9.084945909739448,3.9092888292215733,620520.6082149624
1882.9315215254096,5,3,26,2,1.4233929807580203,6.257906999664097,527004.4149557295
2789.6064077536957,4,1,37,1,8.054818247024663,6.4736499502689036,747644.2179911181
2383.717364576454,2,3,8,2,5.087959824109052,6.174230850218024,691672.7505462404
1765.262807032524,4,2,36,1,4.388665159447041,7.360537084488695,573859.0901513953
2271.2800217929826,3,2,4,1,5.022291626531551,7.290789210102151,658810.7986469127
1768.291153593769,5,2,17,1,4.768216079514218,1.7847485553238964,530312.1476232063
1767.1351232148716,5,2,21,2,7.809567563690254,3.5697020657268568,610382.5178126346
2120.981135783017,2,1,45,1,9.351527700197401,9.008741686737308,688632.6722341588
1043.359877671101,5,3,11,2,5.423102429019208,6.310315486332836,527669.890905612
1137.5410837434836,3,2,43,1,8.494604072042602,3.9567222837226246,490166.1739737801
1718.8562353795137,5,3,21,0,7.587500821410147,8.654127846247688,642450.114582719
1493.5844398327881,1,1,5,0,3.9761270700082916,3.2413805708098837,451851.16088528733
2157.123666297637,4,3,35,1,6.2858243307389285,4.682798779386076,634435.0075701642
1545.9879622393946,3,2,26,1,7.001341075141251,3.4862929450486124,543731.6821262726
1293.8481493323543,3,3,46,0,1.2114943470141672,8.842149314070397,430975.2224904522
2732.824384460777,4,2,14,0,4.563599961018163,7.55459818120388,725467.4162424417
1887.1118497567322,4,2,16,2,9.93374358262711,5.142030801848826,686849.8442799342
2033.764102343962,3,1,2,0,6.735307843630842,9.390707492249463,684568.374715608
1287.6259068932716,4,1,9,2,4.0081966236259845,9.347003024889844,556076.852205415
1727.8086377374086,2,3,24,1,3.2502163546065503,7.403725235462009,543560.3288816314
2055.461294854933,4,3,20,2,2.8853344189068064,9.0279426992442,631885.2395794223
1424.5032112888484,1,2,39,1,4.614772680686867,7.47453809277167,497279.66803318914
2187.849009172836,1,2,8,2,2.739391215468486,6.653906807881759,589382.1574649129
1699.6806550405975,2,2,23,2,2.2166756384817536,4.787047161338568,523201.9804633318
1854.1531251033616,4,2,31,2,4.27656955984263,3.461227858943297,526401.1362634102
1699.1466938853016,1,1,2,1,6.46299723381214,1.5423162281538891,513019.98217066785
2926.139092254469,5,2,32,1,2.317592638775155,8.20782974356121,732031.8055177637
1993.2513876310331,4,1,42,2,1.3990894647657406,2.0994677275087943,396463.54772793315
1471.1445355220499,2,3,44,1,1.3116953625732242,4.69314316593826,381566.9694904626
2411.2724560515944,4,3,11,2,3.406458271923715,3.1117079282079474,607707.1645331434
1389.5781750144888,3,1,28,1,2.711190614646715,5.091636691632168,384042.061236734
2104.431797502378,3,2,20,2,5.853298242611371,3.834854429206775,588348.4123927732
1020.1649380601123,1,3,38,0,5.101481683458095,8.467244616294298,421639.3356629609
